NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
DIAFENTIUROM;Quimico;0.300;D41;DIAFENTIUROM;80060099;SIM;Feijão vagem;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.451, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
CLETODIM;Quimico;0.050;C32;CLETODIM;99129212;SIM;Carambola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.756, DE 2 DE OUTUBRO DE 2019;04/10/2019 00:00:00.000000;
PIRIPROXIFEM;Quimico;0.010;P34;PIRIPROXIFEM;95737681;SIM;Grão de Bico;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.429, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
QUIZALOFOPE-P-ETÍLICO;Quimico;0.030;Q05.1;QUIZALOFOPE-P-ETÍLICO;100646513;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEBUCONAZOL;Quimico;0.700;T32;TEBUCONAZOL;107534963;SIM;Seriguela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 667, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TETRADIFONA;Quimico;1.000;T10;TETRADIFONA;116290;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Casugamicina;Quimico;0.030;C07;Casugamicina;6980183;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.449, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;
CLORANTRANILIPROLE;Quimico;0.300;C70;CLORANTRANILIPROLE;500008457;SIM;Pepino;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
ACETAMIPRIDO;Quimico;0.010;A29;ACETAMIPRIDO;135410207;SIM;Manga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 286, DE 1º DE FEVEREIRO DE 2018;05/02/2018 00:00:00.000000;
AZOXISTROBINA;Quimico;0.300;A26;AZOXISTROBINA;131860338;SIM;Maracujá;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.751, DE 22 DE SETEMBRO DE 2014;23/09/2014 00:00:00.000000;27/05/2019 00:00:00.000000
EPOXICONAZOL;Quimico;0.050;E22;EPOXICONAZOL;133855988;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
FOMESAFEM;Quimico;0.050;F26;FOMESAFEM;72178020;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
INDOXACARBE;Quimico;0.050;I21;INDOXACARBE;173584446;SIM;Chicória;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.095, DE 03 DE AGOSTO DE 2016;08/08/2016 00:00:00.000000;
DELTAMETRINA;Quimico;0.020;D06;DELTAMETRINA;52918635;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;07/06/2020 00:00:00.000000
Metsulfurom-metílico;Quimico;0.020;M26.1;Metsulfurom-metílico;74223646;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.750, DE 04 DE DEZEMBRO DE 2007;05/12/2007 00:00:00.000000;
MANDIPROPAMIDA;Quimico;0.500;M45;MANDIPROPAMIDA;374726622;SIM;Melancia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
METCONAZOL;Quimico;0.050;M34;METCONAZOL;125116236;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 209, DE 25 DE JANEIRO DE 2007;26/01/2007 00:00:00.000000;
CLETODIM;Quimico;0.500;C32;CLETODIM;99129212;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 1.339, DE 24 DE MARÇO DE 2010;29/03/2010 00:00:00.000000;
Flupiradifurone;Quimico;2.000;F69;Flupiradifurone;951659408;SIM;Goiaba;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
PROFENOFÓS;Quimico;1.000;P13;PROFENOFÓS;41198087;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROFENOFÓS;Quimico;0.050;P13;PROFENOFÓS;41198087;SIM;Canola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.214, DE 12 DE MAIO DE 2016;13/05/2016 00:00:00.000000;
TIOFANATO-METÍLICO;Quimico;0.100;T14;TIOFANATO-METÍLICO;23564058;SIM;Grão de Bico;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.141, DE 3 DE MAIO DE 2018;07/05/2018 00:00:00.000000;
TRIFLOXISTROBINA;Quimico;0.050;T54;TRIFLOXISTROBINA;141517217;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 523, DE 27 DE FEVEREIRO DE 2007;05/03/2007 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.484, DE 30 DE SETEMBRO DE 2010;04/10/2010 00:00:00.000000;18/08/2015 00:00:00.000000
CIMOXANIL;Quimico;0.100;C09;CIMOXANIL;57966957;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 364, DE 12 DE FEVEREIRO DE 2016;15/02/2016 00:00:00.000000;
ALFA-CIPERMETRINA;Quimico;1.000;C58;ALFA-CIPERMETRINA;67375308;SIM;Framboesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
BUPROFEZINA;Quimico;0.500;B29;BUPROFEZINA;69327760;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
ESPINOSADE;Quimico;0.020;E24;ESPINOSADE;168316958;SIM;Couve chinesa;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.903, DE 15 DE JULHO DE 2016;18/07/2016 00:00:00.000000;
Fosfina;Quimico;0.100;F20;Fosfina;7803512;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
IPRODIONA;Quimico;1.000;I05;IPRODIONA;36734197;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Dicloreto de paraquate;Quimico;0.050;P01.1;Dicloreto de paraquate;1910425;SIM;Pêra;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/09/2017 00:00:00.000000
Imazamoxi;Quimico;0.100;I15;Imazamoxi;114311329;SIM;Canola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 113/ANVISA 2017;16/01/2017 00:00:00.000000;
Imazamoxi;Quimico;0.100;I15;Imazamoxi;114311329;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Imazapique;Quimico;0.100;I20;Imazapique;104098488;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
IMIDACLOPRIDO;Quimico;0.500;I13;IMIDACLOPRIDO;138261413;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
IMIDACLOPRIDO;Quimico;0.100;I13;IMIDACLOPRIDO;138261413;SIM;Banana;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007;26/03/2007 00:00:00.000000;
IMIDACLOPRIDO;Quimico;0.070;I13;IMIDACLOPRIDO;138261413;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 549, DE 1º DE MARÇO DE 2007;05/03/2007 00:00:00.000000;07/08/2016 00:00:00.000000
IMIDACLOPRIDO;Quimico;0.070;I13;IMIDACLOPRIDO;138261413;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007;26/03/2007 00:00:00.000000;
IMIDACLOPRIDO;Quimico;0.500;I13;IMIDACLOPRIDO;138261413;SIM;Jiló;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;25/03/2007 00:00:00.000000
IMIDACLOPRIDO;Quimico;0.050;I13;IMIDACLOPRIDO;138261413;SIM;Jiló;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 779, DE 23 DE MARÇO DE 2007;26/03/2007 00:00:00.000000;
IMIDACLOPRIDO;Quimico;4.000;I13;IMIDACLOPRIDO;138261413;SIM;Pastagens;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.033, DE 28 DE JULHO DE 2017;31/07/2017 00:00:00.000000;
IMIDACLOPRIDO;Quimico;0.500;I13;IMIDACLOPRIDO;138261413;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;25/03/2007 00:00:00.000000
IMIDACLOPRIDO;Quimico;0.100;I13;IMIDACLOPRIDO;138261413;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 988, DE 10 DE MARÇO DE 2010;11/03/2010 00:00:00.000000;
IMIDACLOPRIDO;Quimico;0.100;I13;IMIDACLOPRIDO;138261413;SIM;Sorgo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 988, DE 10 DE MARÇO DE 2010;11/03/2010 00:00:00.000000;
MALATIONA;Quimico;0.200;M01;MALATIONA;121755;SIM;Cacau;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Dicloreto de paraquate;Quimico;0.010;P01.1;Dicloreto de paraquate;1910425;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/09/2017 00:00:00.000000
ETIPROLE;Quimico;0.100;E29;ETIPROLE;181587019;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 5243/ANVISA 2012;13/12/2012 00:00:00.000000;09/10/2018 00:00:00.000000
ETIPROLE;Quimico;0.005;E29;ETIPROLE;181587019;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 3927/ANVISA 2006;06/12/2006 00:00:00.000000;07/11/2019 00:00:00.000000
ETOFENPROXI;Quimico;0.100;E19;ETOFENPROXI;80844071;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 649, DE 10 DE MARÇO DE 2017;13/03/2017 00:00:00.000000;
ETOFENPROXI;Quimico;4.000;E19;ETOFENPROXI;80844071;SIM;Almeirão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.975, DE 30 DE OUTUBRO DE 2018;01/11/2018 00:00:00.000000;
ETOFENPROXI;Quimico;0.300;E19;ETOFENPROXI;80844071;SIM;Côco;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.183, DE 06 DE AGOSTO DE 2015;07/08/2015 00:00:00.000000;
ETOFENPROXI;Quimico;0.500;E19;ETOFENPROXI;80844071;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 370, DE 6 DE DEZEMBRO DE 2004;07/12/2004 00:00:00.000000;
ETOFENPROXI;Quimico;0.300;E19;ETOFENPROXI;80844071;SIM;Marmelo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.975, DE 30 DE OUTUBRO DE 2018;01/11/2018 00:00:00.000000;
ETOFENPROXI;Quimico;0.100;E19;ETOFENPROXI;80844071;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 554, DE 09 DE FEVEREIRO DE 2011;11/02/2011 00:00:00.000000;
ETOFENPROXI;Quimico;0.300;E19;ETOFENPROXI;80844071;SIM;Nectarina;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.975, DE 30 DE OUTUBRO DE 2018;01/11/2018 00:00:00.000000;
ETOFENPROXI;Quimico;0.700;E19;ETOFENPROXI;80844071;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.112, DE 1° DE AGOSTO DE 2019;05/08/2019 00:00:00.000000;
ETOFENPROXI;Quimico;1.000;E19;ETOFENPROXI;80844071;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 370, DE 6 DE DEZEMBRO DE 2004;07/12/2004 00:00:00.000000;
ETOFENPROXI;Quimico;1.500;E19;ETOFENPROXI;80844071;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.750, DE 30 DE JUNHO DE 2016;04/07/2016 00:00:00.000000;31/10/2018 00:00:00.000000
ETOPROFÓS;Quimico;0.050;E06;ETOPROFÓS;13194484;SIM;Batata;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
FAMOXADONA;Quimico;0.010;F53;FAMOXADONA;131807573;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 215, DE 22 DE JANEIRO DE 2016;25/01/2016 00:00:00.000000;
FAMOXADONA;Quimico;2.000;F53;FAMOXADONA;131807573;SIM;Espinafre;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.403, DE 24 DE MAIO DE 2019;28/05/2019 00:00:00.000000;
FAMOXADONA;Quimico;0.300;F53;FAMOXADONA;131807573;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 215, DE 22 DE JANEIRO DE 2016;25/01/2016 00:00:00.000000;
FENAMIDONA;Quimico;2.000;F55;FENAMIDONA;161326347;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3, DE 9 DE JANEIRO DE 2004;12/01/2004 00:00:00.000000;06/08/2015 00:00:00.000000
FENAMIDONA;Quimico;0.200;F55;FENAMIDONA;161326347;SIM;Chuchu;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.186, DE 06 DE AGOSTO DE 2015;07/08/2015 00:00:00.000000;
FENARIMOL;Quimico;0.050;F03;FENARIMOL;60168889;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
FENARIMOL;Quimico;0.050;F03;FENARIMOL;60168889;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Fenoxaprope-p-etílico;Quimico;0.050;F32.1;Fenoxaprope-p-etílico;71283802;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Fenoxaprope-p-etílico;Quimico;0.020;F32.1;Fenoxaprope-p-etílico;71283802;SIM;Melancia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.764, DE 5 DE JULHO DE 2018;09/07/2018 00:00:00.000000;
METOMINOSTROBINA;Quimico;0.010;M49;METOMINOSTROBINA;133408501;SIM;Milheto;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 1398/ANVISA 2019;28/05/2019 00:00:00.000000;
Metsulfurom-metílico;Quimico;0.100;M26.1;Metsulfurom-metílico;74223646;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
MEVINFÓS;Quimico;1.000;M20;MEVINFÓS;7786347;NÃO;Espinafre;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
MEVINFÓS;Quimico;0.100;M20;MEVINFÓS;7786347;NÃO;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
Novalurom;Quimico;0.020;N09;Novalurom;116714466;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 4110/ANVISA 2008;10/11/2008 00:00:00.000000;
Novalurom;Quimico;0.700;N09;Novalurom;116714466;SIM;Centeio;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 82/ANVISA 2018;15/01/2018 00:00:00.000000;
Glufosinato;Quimico;0.500;G05;Glufosinato;51276472;SIM;Cevada;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 2.681, DE 06 DE OUTUBRO DE 2017;09/10/2017 00:00:00.000000;
HALOSSULFUROM-METÍLICO;Quimico;0.020;H08.1;HALOSSULFUROM-METÍLICO;100784201;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 685, DE 17 DE MARÇO DE 2017;20/03/2017 00:00:00.000000;
HALOXIFOPE-P-METÍLICO;Quimico;0.010;H07.1;HALOXIFOPE-P-METÍLICO;72619320;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 32, DE 4 DE JANEIRO DE 2018;08/01/2018 00:00:00.000000;
HALOXIFOPE-P-METÍLICO;Quimico;0.010;H07.1;HALOXIFOPE-P-METÍLICO;72619320;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 32, DE 4 DE JANEIRO DE 2018;08/01/2018 00:00:00.000000;
Hidróxido de fentina;Quimico;0.050;F59.2;Hidróxido de fentina;76879;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Imazamoxi;Quimico;0.100;I15;Imazamoxi;114311329;SIM;Amendoim;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 3177/ANVISA 2014;21/08/2014 00:00:00.000000;
Imazamoxi;Quimico;2.500;I15;Imazamoxi;114311329;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 3177/ANVISA 2014;21/08/2014 00:00:00.000000;
MALATIONA;Quimico;8.000;M01;MALATIONA;121755;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
MALATIONA;Quimico;3.000;M01;MALATIONA;121755;SIM;Pepino;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
MALATIONA;Quimico;0.010;M01;MALATIONA;121755;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.475, DE 08 DE JUNHO DE 2012;11/06/2012 00:00:00.000000;
Mancozebe;Quimico;0.300;M02;Mancozebe;8018017;SIM;Cenoura;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Mancozebe;Quimico;1.000;M02;Mancozebe;8018017;SIM;Couve;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Mancozebe;Quimico;0.500;M02;Mancozebe;8018017;SIM;Couve-Flor;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Mancozebe;Quimico;3.000;M02;Mancozebe;8018017;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Mancozebe;Quimico;1.000;M02;Mancozebe;8018017;SIM;Manga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Mancozebe;Quimico;1.000;M02;Mancozebe;8018017;SIM;Trigo;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
MANDIPROPAMIDA;Quimico;3.000;M45;MANDIPROPAMIDA;374726622;SIM;Couve-Flor;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.107, DE 14 DE MAIO DE 2012;15/05/2012 00:00:00.000000;09/10/2016 00:00:00.000000
Mesotriona;Quimico;0.010;M40;Mesotriona;104206828;SIM;Milheto;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 1644/ANVISA 2018;25/06/2018 00:00:00.000000;
Metaflumizone;Quimico;0.300;M48;Metaflumizone;139968493;SIM;Couve;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.330, DE 9 DE DEZEMBRO DE 2016;12/12/2016 00:00:00.000000;
Metaflumizone;Quimico;7.000;M48;Metaflumizone;139968493;SIM;Mostarda;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.330, DE 9 DE DEZEMBRO DE 2016;12/12/2016 00:00:00.000000;
Metaflumizone;Quimico;7.000;M48;Metaflumizone;139968493;SIM;Rúcula;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.330, DE 9 DE DEZEMBRO DE 2016;12/12/2016 00:00:00.000000;
METALAXIL-M;Quimico;0.500;M31;METALAXIL-M;70630170;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO RE-Nº 973, DE 15 DE ABRIL DE 2019;17/04/2019 00:00:00.000000;
